File,0d1def7d-6140-4bb3-86b3-a98fedfb7c66(%Of-File),0d1def7d-6140-4bb3-86b3-a98fedfb7c66(%Of-Feature),0d1def7d-6140-4bb3-86b3-a98fedfb7c66(#Propagations),28ca1ff0-a6af-4625-84e1-3f63c2e2738f(%Of-File),28ca1ff0-a6af-4625-84e1-3f63c2e2738f(%Of-Feature),28ca1ff0-a6af-4625-84e1-3f63c2e2738f(#Propagations),84d1f998-ca82-4071-af95-33e0fb515c8d(%Of-File),84d1f998-ca82-4071-af95-33e0fb515c8d(%Of-Feature),84d1f998-ca82-4071-af95-33e0fb515c8d(#Propagations),8e017b23-3ab4-43e2-a466-2f7f9e9a8013(%Of-File),8e017b23-3ab4-43e2-a466-2f7f9e9a8013(%Of-Feature),8e017b23-3ab4-43e2-a466-2f7f9e9a8013(#Propagations),95536f76-3aed-43b7-83aa-a39ffb8a0988(%Of-File),95536f76-3aed-43b7-83aa-a39ffb8a0988(%Of-Feature),95536f76-3aed-43b7-83aa-a39ffb8a0988(#Propagations),b35994de-73cb-479b-a7a7-f14497e521ba(%Of-File),b35994de-73cb-479b-a7a7-f14497e521ba(%Of-Feature),b35994de-73cb-479b-a7a7-f14497e521ba(#Propagations),c86b0893-4a4d-4eac-b490-a581c92855a2(%Of-File),c86b0893-4a4d-4eac-b490-a581c92855a2(%Of-Feature),c86b0893-4a4d-4eac-b490-a581c92855a2(#Propagations)
src\main\webapp\WEB-INF\client\menu.jsp,7.394957983193278,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\webapp\WEB-INF\index.jsp,0,0,0,0,0,0,0.6435466571326421,100,2,0,0,0,5.613156953879156,100,1,5.005362888809438,100,1,0,0,0
