File,Convertisseur(%Of-File),Convertisseur(%Of-Feature),Convertisseur(#Propagations),Langue(%Of-File),Langue(%Of-Feature),Langue(#Propagations),Anglais(%Of-File),Anglais(%Of-Feature),Anglais(#Propagations),Login(%Of-File),Login(%Of-Feature),Login(#Propagations),Google(%Of-File),Google(%Of-Feature),Google(#Propagations),Github(%Of-File),Github(%Of-Feature),Github(#Propagations),Francais(%Of-File),Francais(%Of-Feature),Francais(#Propagations)
src\main\webapp\WEB-INF\client\menu.jsp,7.394957983193278,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\main\webapp\WEB-INF\index.jsp,0,0,0,0,0,0,0.6435466571326421,100,2,0,0,0,5.613156953879156,100,1,5.005362888809438,100,1,0,0,0
